INT_ID^CITY_ID^PATH_INDEX^ROUTE_INDEX^ROUTE_IN_INDEX^ROUTE_RATE^RELATED_TRAPH_ID^ROUTE_DESCRIPTION^RELATED_PATH_ID^WORK_STATE^PATH_TYPE^A_SITE^Z_SITE^A_SITE_NAME^Z_SITE_NAME^A_TRANSNE_ID^A_TRANSNE^A_TRANSPORT_ID^A_TRANSVIRTUALPORT_ID^RELATED_A_TRANSCTP^Z_TRANSNE_ID^Z_TRANSNE^Z_TRANSPORT_ID^Z_TRANSVIRTUALPORT_ID^RELATED_Z_TRANSCTP^AVLANID^ZVLANID^MSTP_EXTS^A_MAC^A_MP^Z_MAC^Z_MP^ZH_LABEL^REMARK^STATEFLAG^TIME_STAMP^CREATOR^CREAT_TIME^MODIFY_TIME^MODIFIER
46^^1^1^0^^68783043^昆明高新(323-昆明高新4扩展3-15-N2PQ1-03)(313-大理扩展3-2-N2PQ1-03)大理榆宾路10号^76262556^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936719^323-昆明高新4扩展3^55872955^^^53936745^313-大理扩展3^55860764^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:58:45^2011-02-22 14:58:45^
49^^1^1^0^^68783045^昆明高新(269-昆明高新4扩展1-15-PQ1-25)(236-大理-2-JQ16-04/155M5)大理榆宾路10号^76266510^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936477^269-昆明高新4扩展1^55880978^^^53936698^236-大理^55872699^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-03-02 16:57:06^2011-03-02 16:57:06^
50^^1^1^0^^68783044^昆明枢纽楼(271-昆明枢纽楼4扩展1-13-PQ1-42)(236-大理-2-JQ16-04/155M3)大理榆宾路10号^76266513^1^1^1862^1836^五华区昆明枢纽楼^大理市榆宾路10号^53936522^271-昆明枢纽楼4扩展1^55889488^^^53936698^236-大理^55872699^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-03-02 16:57:21^2011-03-02 16:57:20^
104^^1^1^0^^68783102^个旧移动大楼(BSC91-2-ET1-26)(个旧水龙井-1-ET1-03)个旧市鸡街水龙井^76173020^1^1^1844^3051451^个旧市移动大楼^个旧市鸡街水龙井^53950911^BSC26(虚拟)^56751530^^^53948601^个旧水龙井^56761710^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-11-03 17:57:46^2011-11-03 17:57:46^
118^^1^1^0^^68782955^昆明高新(233-昆明高新3扩展2-2-PQ1-18)(238-大理扩展2-2-PQ1-18)大理榆宾路10号^76263443^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55878756^^^53936645^238-大理扩展2^55870438^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:42:50^2011-02-22 14:42:49^
119^^1^1^0^^68782957^昆明文庙(287-昆明文庙长长扩展1-15-PQ1-11)《YN-T2000-3-S-286-昆明文庙长长链-1/155M7/2M11》昆明文庙《YN-T2000-3-S-长长中继环7系统/A155M13/2M11》昆明高新《YN-T2000-3-S-268-昆明高新4链/155M2/2M11》昆明高新《YN-T2000-3-S-西北环-第1波/B155M5/2M11》楚雄开发区生产楼《YN-T2000-3-S-281-楚雄链-2/155M8/2M11》(283-楚雄扩展2-16-PQ1-11)楚雄开发区生产楼^76269469^1^1^1864^1834^五华区昆明文庙^楚雄市开发区生产楼^53936518^287-昆明文庙长长扩展1^55884127^^^53936510^283-楚雄扩展2^55886405^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-11-17 09:23:34^2011-11-17 09:23:33^
125^^1^1^0^^68782958^昆明文庙(287-昆明文庙长长扩展1-15-PQ1-08)(283-楚雄扩展2-16-PQ1-08)楚雄开发区生产楼^76269536^1^1^1864^1834^五华区昆明文庙^楚雄市开发区生产楼^53936518^287-昆明文庙长长扩展1^55883694^^^53936510^283-楚雄扩展2^55882813^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:52:02^2011-02-22 14:52:02^
127^^1^1^0^^68782956^昆明高新(233-昆明高新3扩展2-13-PQ1-03)(283-楚雄扩展2-2-PQ1-03)楚雄开发区生产楼^76269540^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55878514^^^53936510^283-楚雄扩展2^55882579^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:52:19^2011-02-22 14:52:19^
132^^1^1^0^^68782934^昆明高新(233-昆明高新3扩展2-13-PQ1-09)(283-楚雄扩展2-2-PQ1-09)楚雄开发区生产楼^76269545^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55878574^^^53936510^283-楚雄扩展2^55882795^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:52:38^2011-02-22 14:52:38^
133^^1^1^0^^68782935^昆明高新(233-昆明高新3扩展2-13-PQ1-10)(283-楚雄扩展2-2-PQ1-10)楚雄开发区生产楼^76269479^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55875933^^^53936510^283-楚雄扩展2^55882967^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:52:41^2011-02-22 14:52:41^
134^^1^1^0^^68782936^昆明高新(233-昆明高新3扩展2-13-PQ1-11)(283-楚雄扩展2-2-PQ1-11)楚雄开发区生产楼^76269549^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55875939^^^53936510^283-楚雄扩展2^55882966^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:52:44^2011-02-22 14:52:44^
141^^1^1^0^^68782951^昆明高新(233-昆明高新3扩展2-13-PQ1-37)(283-楚雄扩展2-2-PQ1-37)楚雄开发区生产楼^76263571^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55872741^^^53936510^283-楚雄扩展2^55883198^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:12^2011-02-22 14:53:12^
142^^1^1^0^^68782987^昆明高新(233-昆明高新3扩展2-13-PQ1-38)(283-楚雄扩展2-2-PQ1-38)楚雄开发区生产楼^76263572^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55872747^^^53936510^283-楚雄扩展2^55883204^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:15^2011-02-22 14:53:15^
143^^1^1^0^^68782988^昆明高新(233-昆明高新3扩展2-13-PQ1-39)(283-楚雄扩展2-2-PQ1-39)楚雄开发区生产楼^76262450^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55872751^^^53936510^283-楚雄扩展2^55883205^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:18^2011-02-22 14:53:18^
145^^1^1^0^^68782990^昆明高新(233-昆明高新3扩展2-13-PQ1-41)(283-楚雄扩展2-2-PQ1-41)楚雄开发区生产楼^76263575^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55878598^^^53936510^283-楚雄扩展2^55886449^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:24^2011-02-22 14:53:24^
146^^1^1^0^^68782991^昆明高新(233-昆明高新3扩展2-13-PQ1-48)(283-楚雄扩展2-2-PQ1-48)楚雄开发区生产楼^76263576^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55875357^^^53936510^283-楚雄扩展2^55883181^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:27^2011-02-22 14:53:27^
147^^1^1^0^^68782966^昆明高新(233-昆明高新3扩展2-14-PQ1-08)(283-楚雄扩展2-3-PQ1-08)楚雄开发区生产楼^76262462^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55872932^^^53936510^283-楚雄扩展2^55886437^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:53^2011-02-22 14:53:53^
148^^1^1^0^^68782961^昆明高新(233-昆明高新3扩展2-13-PQ1-59)(283-楚雄扩展2-2-PQ1-59)楚雄开发区生产楼^76262460^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55879002^^^53936510^283-楚雄扩展2^55886436^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:46^2011-02-22 14:53:46^
149^^1^1^0^^68782962^昆明高新(233-昆明高新3扩展2-14-PQ1-15)(283-楚雄扩展2-3-PQ1-15)楚雄开发区生产楼^76263585^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55867477^^^53936510^283-楚雄扩展2^55886555^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:59^2011-02-22 14:53:59^
151^^1^1^0^^68782965^昆明高新(233-昆明高新3扩展2-14-PQ1-07)(283-楚雄扩展2-3-PQ1-07)楚雄开发区生产楼^76262461^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55876195^^^53936510^283-楚雄扩展2^55886440^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:49^2011-02-22 14:53:49^
153^^1^1^0^^68782964^昆明高新(233-昆明高新3扩展2-14-PQ1-14)(283-楚雄扩展2-3-PQ1-14)楚雄开发区生产楼^76263584^1^1^1861^1834^五华区昆明高新^楚雄市开发区生产楼^53936654^233-昆明高新3扩展2^55867484^^^53936510^283-楚雄扩展2^55886542^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-22 14:53:56^2011-02-22 14:53:56^
205^^1^1^0^^68783121^个旧移动大楼(BSC93-2-ET1-03)(河口芹菜塘-1-1-8-ET1-01)河口县南溪芹菜塘^76172902^1^1^3051476^1844^河口县南溪芹菜塘^个旧市移动大楼^53949290^河口芹菜塘^56152389^^^53951355^BSC28(虚拟)^56763133^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-11-03 18:27:13^2011-11-03 18:27:12^
221^^1^1^0^^68783150^个旧市移动大楼(BSC96(虚拟)-7-ET1-31)(解化厂-8-ET1-07)开远市解化厂^76172920^1^1^1844^3051442^个旧市移动大楼^开远市解化厂^53951352^BSC31(虚拟)^56749880^^^53957108^解化厂^55918433^^^^^^^^^^^^0^2014-06-18 00:37:56^^2010-10-07 17:35:07^2013-03-13 14:12:42^
246^^1^1^0^^68783194^个旧移动大楼(BSC94-1-ET1-26)(开远390扩展-10-ET1-53)开远电信楼^76173175^1^1^1844^1845^个旧市移动大楼^开远市电信楼^53951354^BSC29(虚拟)^56755911^^^53948970^开远390扩展^56805362^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-11-03 18:44:02^2011-11-03 18:44:02^
248^^1^1^0^^68783217^个旧移动大楼(BSC96-3-ET1-35)(开远390扩展-10-ET1-28)开远电信楼^76173424^1^1^1844^1845^个旧市移动大楼^开远市电信楼^53951352^BSC31(虚拟)^56759913^^^53948970^开远390扩展^56769938^^^^^^^^^^^^0^2014-06-18 00:37:56^^2010-10-07 17:44:11^2010-10-07 17:43:53^
